"id","name","display_name","works_count"
"https://openalex.org/A5049874817","Haapalainen Antti","Antti M. Haapalainen",49
"https://openalex.org/A5018575502","Hietakangas Ville","Ville Hietakangas",89
"https://openalex.org/A5086398471","Mattila Jaakko","Jaakko Mattila",11
"https://openalex.org/A5073865560","Hautala Timo","Timo Hautala",87
"https://openalex.org/A5050720035","Huttunen Kristiina","Kristiina Huttunen",36
"https://openalex.org/A5033102814","Hautaniemi Sampsa","Sampsa Hautaniemi",515
"https://openalex.org/A5037038554","Hytönen Vesa","Vesa P. Hytönen",285
"https://openalex.org/A5082935308","Fagerholm Susanna","Susanna C. Fagerholm",79
"https://openalex.org/A5070678093","Heikinheimo Markku","Markku Heikinheimo",120
"https://openalex.org/A5051981975","Ivaska Johanna","Johanna Ivaska",247
"https://openalex.org/A5022292989","Heino Jyrki","Jyrki Heino",260
"https://openalex.org/A5004861283","Jacquemet Guillaume","Guillaume Jacquemet",210
"https://openalex.org/A5108897246","Heinäniemi Merja","Merja Heinäniemi",4
"https://openalex.org/A5001609102","Lohi Olli","Olli Lohi",225
"https://openalex.org/A5090618504","Joensuu Heikki","Heikki Joensuu",1123
"https://openalex.org/A5062078543","Hemminki Akseli","Akseli Hemminki",642
"https://openalex.org/A5063237156","Jussi Posti","Jussi P. Posti",244
"https://openalex.org/A5082600086","Hiltunen Mikko","Mikko Hiltunen",289
"https://openalex.org/A5024591000","Järvinen Teppo","Teppo L. N. Järvinen",211
"https://openalex.org/A5040900470","Hirvonen Jussi","Jussi Hirvonen",278
"https://openalex.org/A5012600661","Kajantie Eero","Eero Kajantie",876
"https://openalex.org/A5054298399","Hovatta Iiris","Iiris Hovatta",213
"https://openalex.org/A5077610599","Kallijärvi Jukka","Jukka Kallijärvi",66
"https://openalex.org/A5074800971","Huiskonen Juha","Juha T. Huiskonen",179
"https://openalex.org/A5108833842","Koivunen Peppi","Peppi Koivunen",348
"https://openalex.org/A5030181854","Hyvärinen Kati","Kati Hyvärinen",107
"https://openalex.org/A5042034745","Ritari Jarmo","Jarmo Ritari",142
"https://openalex.org/A5012423760","Katajisto Pekka","Pekka Katajisto",88
"https://openalex.org/A5011722240","Hyöty Heikki","Heikki Hyöty",500
"https://openalex.org/A5000141478","Knip Mikael","Mikael Knip",1137
"https://openalex.org/A5068795367","Ikonen Elina","Elina Ikonen",290
"https://openalex.org/A5070430837","Koistinaho Jari","Jari Koıstınaho",400
"https://openalex.org/A5077054102","Ilonen Ilkka","Ilkka Ilonen",99
"https://openalex.org/A5022590395","Korhonen Rami","Rami K. Korhonen",303
"https://openalex.org/A5085886525","Jalkanen Sirpa","Sirpa Jalkanen",607
"https://openalex.org/A5064331844","Kotaja Noora","Noora Kotaja",107
"https://openalex.org/A5034030410","Toppari Jorma","Jorma Toppari",846
"https://openalex.org/A5059363717","Jartti Tuomas","Tuomas Jartti",248
"https://openalex.org/A5126515727","Kuijjer Mariike","Mariike Kuijjer",3
"https://openalex.org/A5020804258","Jernvall Jukka","Jukka Jernvall",173
"https://openalex.org/A5101939212","Laakso Markku","Markku Laakso",1209
"https://openalex.org/A5053247564","Junttila Juhani","Juhani Junttila",377
"https://openalex.org/A5066464245","Laitinen Kirsi","Kirsi Laitinen",251
"https://openalex.org/A5079794909","Järvinen Tero","Tero A.H. Järvinen",165
"https://openalex.org/A5013579145","Lappalainen Pekka","Pekka Lappalainen",348
"https://openalex.org/A5021448617","Kaarniranta Kai","Kai Kaarniranta",639
"https://openalex.org/A5037558096","Lehtonen Sanna","Sanna Lehtonen",98
"https://openalex.org/A5015092410","Kaikkonen-Määttä Minna","Minna U. Kaikkonen",218
"https://openalex.org/A5051888634","Leppä Sirpa","Sirpa Leppä",515
"https://openalex.org/A5036904758","Kaila Kai","Kai Kaila",258
"https://openalex.org/A5021628160","Lindfors Katri","Katri Lindfors",178
"https://openalex.org/A5031765078","Kanninen Katja","Katja M. Kanninen",164
"https://openalex.org/A5075763726","Lindsberg Perttu","Perttu J. Lindsberg",246
"https://openalex.org/A5056094841","Kantele Anu","Anu Kantele",260
"https://openalex.org/A5042831400","Luukkonen Panu","Panu K. Luukkonen",87
"https://openalex.org/A5053990597","Kaslin Jan","Jan Kaslin",123
"https://openalex.org/A5000776705","Malm Tarja","Tarja Malm",215
"https://openalex.org/A5041474733","Leinonen Ville","Ville Leinonen",273
"https://openalex.org/A5013500757","Kastaniotis Alexander","Alexander J. Kastaniotis",62
"https://openalex.org/A5043954875","Autio Kaija","Kaija J. Autio",31
"https://openalex.org/A5003353973","Metsä-Ketelä Mikko","Mikko Metsä‐Ketelä",113
"https://openalex.org/A5003543575","Kaukinen Katri","Katri Kaukinen",403
"https://openalex.org/A5008868111","Mustjoki Satu","Satu Mustjoki",675
"https://openalex.org/A5052169456","Kauppi Liisa","Liisa Kauppi",189
"https://openalex.org/A5002072250","Myllyharju Johanna","Johanna Myllyharju",183
"https://openalex.org/A5081442384","Kekäläinen Eliisa","Eliisa Kekäläinen",115
"https://openalex.org/A5007965763","Mäkitie Antti","Antti Mäkitie",747
"https://openalex.org/A5100712980","Kere Juha","Juha Kere",912
"https://openalex.org/A5064764888","Mäkitie Outi","Outi Mäkitie",580
"https://openalex.org/A5068521318","Kerkelä Risto","Risto Kerkelä",132
"https://openalex.org/A5062771849","Najumudeen Arafath","Arafath K. Najumudeen",79
"https://openalex.org/A5013163254","Ketola Kirsi","Kirsi Ketola",126
"https://openalex.org/A5012308854","Namba Takashi","Takashi Namba",181
"https://openalex.org/A5064183750","Kilpivaara Outi","Outi Kilpivaara",128
"https://openalex.org/A5087038443","Wartiovaara-Kautto Ulla","Ulla Wartiovaara‐Kautto",76
"https://openalex.org/A5081976107","Niiranen Teemu","Teemu Niiranen",548
